Country,City,City Link,Category,Keyword,Post_title,Link
US,rmn,https://rmn.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research  - Rochester MN,https://rmn.craigslist.org/evg/d/rochester-need-year-olds-for-paid/7771085596.html
US,rmn,https://rmn.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Rochester",https://rmn.craigslist.org/evg/d/rochester-marketing-research/7766288844.html
US,marshall,https://marshall.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Marshall",https://marshall.craigslist.org/evg/d/marshall-marketing-research-opportunity/7771600416.html
US,stcloud,https://stcloud.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, St Cloud",https://stcloud.craigslist.org/evg/d/saint-cloud-marketing-research/7768912264.html
US,stlouis,https://stlouis.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience,https://stlouis.craigslist.org/evg/d/saint-louis-need-year-olds-for-paid/7771255101.html
US,lincoln,https://lincoln.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30 - Lincoln,https://lincoln.craigslist.org/evg/d/lincoln-marketing-research-opportunity/7767471645.html
US,omaha,https://omaha.craigslist.org,Gigs,Marketing,💻Agents Wanted-Job Opportunity: Help Us Test a New Marketing Strategy,https://omaha.craigslist.org/cpg/d/council-bluffs-agents-wanted-job/7772019245.html
US,omaha,https://omaha.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - Omaha,https://omaha.craigslist.org/evg/d/omaha-need-year-olds-for-paid-marketing/7771127148.html
US,lasvegas,https://lasvegas.craigslist.org,Gigs,Marketing,Models / Extras Needed for Restaurant Photo Video Marketing Shoot,https://lasvegas.craigslist.org/tlg/d/las-vegas-models-extras-needed-for/7774055690.html
US,lasvegas,https://lasvegas.craigslist.org,Gigs,Marketing,Teach me Social Media Marketing,https://lasvegas.craigslist.org/crg/d/las-vegas-teach-me-social-media/7773985689.html
US,nh,https://nh.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Nashua,https://nh.craigslist.org/evg/d/nashua-marketing-research-opportunity/7774018565.html
US,nh,https://nh.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience (Bedford),https://nh.craigslist.org/evg/d/bedford-need-year-olds-for-paid/7771085840.html
US,cnj,https://cnj.craigslist.org,Gigs,Marketing,Event Marketing/ Brand Ambassador,https://cnj.craigslist.org/evg/d/allentown-event-marketing-brand/7775141895.html
US,cnj,https://cnj.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30 - Westfield,https://cnj.craigslist.org/evg/d/westfield-marketing-research/7770898466.html
US,newjersey,https://newjersey.craigslist.org,Gigs,Marketing,Simple Marketing Research - Clifton NJ,https://newjersey.craigslist.org/evg/d/clifton-simple-marketing-research/7774097848.html
US,newjersey,https://newjersey.craigslist.org,Gigs,Marketing,Models Needed for Digital Marketing Company Photoshoot,https://newjersey.craigslist.org/tlg/d/emerson-models-needed-for-digital/7773060978.html
US,newjersey,https://newjersey.craigslist.org,Gigs,Marketing,"Small Gig using Social Media Marketing for Facebook, Next Door",https://newjersey.craigslist.org/crg/d/westwood-small-gig-using-social-media/7770980549.html
US,santafe,https://santafe.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30: Santa Fe,https://santafe.craigslist.org/evg/d/santa-fe-marketing-research-opportunity/7770897298.html
US,albany,https://albany.craigslist.org,Gigs,Marketing,Get Paid From Home to Give Away Free Marketing Memberships! Albany NY,https://albany.craigslist.org/cpg/d/albany-get-paid-from-home-to-give-away/7772802918.html
US,albany,https://albany.craigslist.org,Gigs,Marketing,Marketing Specialist for Real Estate Brokerage- Unlimited Earnings,https://albany.craigslist.org/crg/d/saratoga-springs-marketing-specialist/7771169797.html
US,ithaca,https://ithaca.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - Ithaca,https://ithaca.craigslist.org/evg/d/ithaca-need-year-olds-for-paid/7771127266.html
US,longisland,https://longisland.craigslist.org,Gigs,Marketing,21-30 year olds for Paid Marketing Research  - Long Island,https://longisland.craigslist.org/evg/d/plainview-year-olds-for-paid-marketing/7770897785.html
US,newyork,https://newyork.craigslist.org,Gigs,Marketing,Marketing Health,https://newyork.craigslist.org/mnh/evg/d/new-york-marketing-health/7774980843.html
US,newyork,https://newyork.craigslist.org,Gigs,Marketing,Marketing,https://newyork.craigslist.org/mnh/evg/d/new-york-marketing/7774980452.html
US,newyork,https://newyork.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Scarsdale,https://newyork.craigslist.org/wch/evg/d/scarsdale-marketing-research/7774097877.html
US,newyork,https://newyork.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30: New York Area,https://newyork.craigslist.org/wch/evg/d/larchmont-marketing-research/7774097576.html
US,newyork,https://newyork.craigslist.org,Gigs,Marketing,Christian video social media marketing help wanted.,https://newyork.craigslist.org/brx/evg/d/bronx-christian-video-social-media/7775322555.html
US,rochester,https://rochester.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research  - Rochester NY,https://rochester.craigslist.org/evg/d/rochester-need-year-olds-for-paid/7771685262.html
US,asheville,https://asheville.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience,https://asheville.craigslist.org/evg/d/asheville-need-year-olds-for-paid/7774018410.html
US,charlotte,https://charlotte.craigslist.org,Gigs,Marketing,Remote: Marketing & Data Entry,https://charlotte.craigslist.org/wrg/d/topeka-remote-marketing-data-entry/7775037279.html
US,charlotte,https://charlotte.craigslist.org,Gigs,Marketing,"Simple Gmail Marketing Job – READ, PLAY, LEARN with Performance-Based Pay",https://charlotte.craigslist.org/cpg/d/charlotte-simple-gmail-marketing-job/7770440943.html
US,charlotte,https://charlotte.craigslist.org,Gigs,Marketing,Email Marketing Specialist – Earn with Performance-Based Pay,https://charlotte.craigslist.org/cpg/d/charlotte-email-marketing-specialist/7770494455.html
US,greensboro,https://greensboro.craigslist.org,Gigs,Marketing,Marketing Research - Greensboro Area,https://greensboro.craigslist.org/evg/d/greensboro-marketing-research/7768912052.html
US,greensboro,https://greensboro.craigslist.org,Gigs,Marketing,Need 21-30 year olds for marketing research experience,https://greensboro.craigslist.org/evg/d/greensboro-need-year-olds-for-marketing/7774018686.html
US,onslow,https://onslow.craigslist.org,Gigs,Marketing,Looking for Marketing Business Partner,https://onslow.craigslist.org/cpg/d/mccutcheon-field-looking-for-marketing/7774606859.html
US,raleigh,https://raleigh.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Chapel Hill,https://raleigh.craigslist.org/evg/d/chapel-hill-marketing-research/7774018495.html
US,wilmington,https://wilmington.craigslist.org,Gigs,Marketing,Looking for a marketing partner for artwork,https://wilmington.craigslist.org/crg/d/wilmington-looking-for-marketing/7772777882.html
